Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Восточно-Сибирской ж.д. (код дороги 92),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 92-001 ""ТАЙШЕТ - ИРКУТСК-ПАССАЖИРСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тайшет,до ст. Иркутск-Пассажирский,,,,,,,,,,,
115.,935351 .,ОП Зенит, 443  км ,  13  км ,,,,,,,,,,,
116.,935313 .,ОП Сотниково, 445  км ,  11  км ,,,,,,,,,,,
117.,935402 .,Дивизионная, 449  км ,   7  км ,,,,,,,,,,,
118.,935417 .,ОП Стеклозавод, 452  км ,   4  км ,,,,,,,,,,,
119.,935506 .,Улан-Удэ, 456  км ,   0  км ,,,,,,,,,,,
120.,936000 .,Улан-Удэ (перев.), 456  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 92-003 ""УЛАН-УДЭ - ЗАУДИНСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Улан-Удэ,до ст. Заудинский,,,,,,,,,,,
  1.,935506 .,Улан-Удэ,   0  км ,   8  км ,,,,,,,,,,,
  2.,935510 .,ОП Район Стрелка,   6  км ,   2  км ,,,,,,,,,,,
  3.,935703 .,Заудинский,   8  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 92-004 ""СУХОВСКАЯ - МЕГЕТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Суховская,до ст. Тайшет,до ст. Иркутск-Пассажирский,,,,,,,,,,
  1.,932207 .,Суховская,   0  км , 635  км ,  33  км ,,,,,,,,,,
  2.,932404 .,Зуй,   7  км , 642  км ,  26  км ,,,,,,,,,,
  3.,932508 .,Мегет,  12  км , 647  км ,  21  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 92-005 ""ЗАУДИНСКИЙ - ПЕТРОВСКИЙ ЗАВОД (Забайкальской ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Заудинский,до ст. Петровский Завод,,,,,,,,,,,
  1.,935703 .,Заудинский,   0  км , 135  км ,,,,,,,,,,,
