Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южно-Уральской ж.д. (код дороги 80),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 80-001 ""КРОПАЧЕВО - БЕРДЯУШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кропачево,до ст. Бердяуш,,,,,,,,,,,
 49.,826084 .,Кондратовка-Сибирская, 221  км ,  26  км ,,,,,,,,,,,
 50.,820045 .,ОП Ост. Пункт 2603 км, 223  км ,  24  км ,,,,,,,,,,,
 51.,820054 .,ОП Ост. Пункт 2606 км, 226  км ,  21  км ,,,,,,,,,,,
 52.,820035 .,Затон, 234  км ,  13  км ,,,,,,,,,,,
 53.,820020 .,ОП Ост. Пункт 131 км, 239  км ,   8  км ,,,,,,,,,,,
 54.,820001 .,Петропавловск, 247  км ,   0  км ,,,,,,,,,,,
 55.,820105 .,Петропавловск (эксп.), 247  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 80-012 ""ПЕТРОПАВЛОВСК - ПУТ. ПОСТ 2742 КМ (Западно-Сибирской ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петропавловск,до ст. Пут. Пост 2742 км,,,,,,,,,,,
  1.,820001 .,Петропавловск,   0  км , 117  км ,,,,,,,,,,,
  2.,826050 .,ОП Ост. Пункт 2629 км,   3  км , 114  км ,,,,,,,,,,,
  3.,826046 .,ОП Ост. Пункт 2632 км,   6  км , 111  км ,,,,,,,,,,,
  4.,826065 .,ОП Ост. Пункт 2636 км,  10  км , 107  км ,,,,,,,,,,,
  5.,826031 .,Асаново (обп),  17  км , 100  км ,,,,,,,,,,,
  6.,826027 .,ОП Ост. Пункт 2648 км,  22  км ,  95  км ,,,,,,,,,,,
  7.,826012 .,ОП Ост. Пункт 2651 км,  25  км ,  92  км ,,,,,,,,,,,
  8.,826071 .,Токуши,  34  км ,  83  км ,,,,,,,,,,,
  9.,825912 .,Ярмы,  47  км ,  70  км ,,,,,,,,,,,
 10.,825255 .,ОП Ост. Пункт 2681 км,  55  км ,  62  км ,,,,,,,,,,,
 11.,825240 .,Ганькино,  60  км ,  57  км ,,,,,,,,,,,
 12.,825261 .,ОП Ост. Пункт 2695 км,  69  км ,  48  км ,,,,,,,,,,,
