Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
 7433.,Ост. Пункт 615 км,О,58 Ю-Вост (Р),438514,
 7434.,Ост. Пункт 617 км,О,58 Ю-Вост (Р),438529,
 7435.,Ост. Пункт 618 км,О,73 Узбк,737355,
 7436.,Ост. Пункт 62 км,О,17 Моск (Р),205326,
 7437.,Ост. Пункт 62 км,О,32 Ю-Зап (У),344938,
 7438.,Ост. Пункт 62 км,О,51 С-Кав (Р),512623,
 7439.,Ост. Пункт 62 км,О,51 С-Кав (Р),535038,
 7440.,Ост. Пункт 62 км,О,63 Кбш (Р),652270,
 7441.,Ост. Пункт 62 км,О,63 Кбш (Р),658740,
 7442.,Ост. Пункт 62 км,О,76 Сверд (Р),772221,
 7443.,Ост. Пункт 62 км,О,80 Ю-Ур (Р),804210,
 7444.,Ост. Пункт 62 км,О,80 Ю-Ур (Р),812715,
 7445.,Ост. Пункт 62 км,О,80 Ю-Ур (Р),814725,
 7446.,Ост. Пункт 623 км,О,01 Окт (Р),070075,
 7447.,Ост. Пункт 624 км,О,58 Ю-Вост (Р),438618,
 7448.,Ост. Пункт 624 км,О,63 Кбш (Р),640056,
 7449.,Ост. Пункт 6249 км,О,94 Заб (Р),942730,
 7450.,Ост. Пункт 626 км,О,01 Окт (Р),070060,
 7451.,Ост. Пункт 629 км,О,58 Ю-Вост (Р),607310,
 7452.,Ост. Пункт 6299 км,О,94 Заб (Р),943112,
 7453.,Ост. Пункт 63 км,О,01 Окт (Р),040188,
 7454.,Ост. Пункт 63 км,О,01 Окт (Р),045228,
 7455.,Ост. Пункт 63 км,О,01 Окт (Р),048457,
 7456.,Ост. Пункт 63 км,О,24 Горьк (Р),246928,
 7457.,Ост. Пункт 63 км,О,51 С-Кав (Р),531111,
 7458.,Ост. Пункт 63 км,О,58 Ю-Вост (Р),594712,
 7459.,Ост. Пункт 63 км,О,61 Прив (Р),621110,
 7460.,Ост. Пункт 63 км,О,80 Ю-Ур (Р),818114,
 7461.,Ост. Пункт 630 км,О,58 Ю-Вост (Р),438622,
 7462.,Ост. Пункт 6319 км,О,94 Заб (Р),943165,
 7463.,Ост. Пункт 633 км,О,58 Ю-Вост (Р),435018,
 7464.,Ост. Пункт 634 км,О,58 Ю-Вост (Р),607325,
 7465.,Ост. Пункт 6348 км,О,94 Заб (Р),947518,
 7466.,Ост. Пункт 635 км,О,58 Ю-Вост (Р),435056,
 7467.,Ост. Пункт 6358 км,О,94 Заб (Р),947537,
 7468.,Ост. Пункт 636 км,О,58 Ю-Вост (Р),607334,
 7469.,Ост. Пункт 637 км,О,01 Окт (Р),070041,
 7470.,Ост. Пункт 637 км,О,58 Ю-Вост (Р),598728,
 7471.,Ост. Пункт 639 км,О,01 Окт (Р),070094,
 7472.,Ост. Пункт 639 км,О,58 Ю-Вост (Р),607414,
 7473.,Ост. Пункт 64 км,О,32 Ю-Зап (У),326658,
 7474.,Ост. Пункт 64 км,О,58 Ю-Вост (Р),437969,
 7475.,Ост. Пункт 64 км,О,80 Ю-Ур (Р),805618,
 7476.,Ост. Пункт 640 км,О,58 Ю-Вост (Р),438711,
 7477.,Ост. Пункт 640 км,О,58 Ю-Вост (Р),597340,
 7478.,Ост. Пункт 6413 км,О,94 Заб (Р),947715,
 7479.,Ост. Пункт 643 км,О,58 Ю-Вост (Р),607429,
 7480.,Ост. Пункт 644 км,О,01 Окт (Р),070022,
 7481.,Ост. Пункт 6440 км,О,94 Заб (Р),943818,
 7482.,Ост. Пункт 6445 км,О,94 Заб (Р),943911,
 7483.,Ост. Пункт 646 км,О,58 Ю-Вост (Р),607433,
 7484.,Ост. Пункт 6461 км,О,94 Заб (Р),948012,
 7485.,Ост. Пункт 648 км,О,92 В-Сиб (Р),926850,
 7486.,Ост. Пункт 65 км,О,01 Окт (Р),069260,
 7487.,Ост. Пункт 65 км,О,35 Льв (У),363110,
 7488.,Ост. Пункт 65 км,О,51 С-Кав (Р),512619,
 7489.,Ост. Пункт 65 км,О,51 С-Кав (Р),531126,
 7490.,Ост. Пункт 65 км,О,58 Ю-Вост (Р),594229,
 7491.,Ост. Пункт 65 км,О,51 С-Кав (Р),588514,
 7492.,Ост. Пункт 65 км,О,58 Ю-Вост (Р),604346,
 7493.,Ост. Пункт 65 км,О,73 Узбк,740930,
 7494.,Ост. Пункт 65 км,О,76 Сверд (Р),767717,
 7495.,Ост. Пункт 65 км,О,94 Заб (Р),954418,
 7496.,Ост. Пункт 651 км,О,76 Сверд (Р),797144,
 7497.,Ост. Пункт 653 км,О,58 Ю-Вост (Р),607452,
 7498.,Ост. Пункт 654 км,О,58 Ю-Вост (Р),597513,
 7499.,Ост. Пункт 6540 км,О,94 Заб (Р),944632,
 7500.,Ост. Пункт 6549 км,О,94 Заб (Р),944717,
 7501.,Ост. Пункт 6550 км,О,94 Заб (Р),948455,
 7502.,Ост. Пункт 658 км,О,58 Ю-Вост (Р),607467,
 7503.,Ост. Пункт 659 км,О,58 Ю-Вост (Р),598836,
 7504.,Ост. Пункт 66 км,О,01 Окт (Р),063813,
 7505.,Ост. Пункт 66 км,О,17 Моск (Р),190525,
 7506.,Ост. Пункт 66 км,О,51 С-Кав (Р),587757,
 7507.,Ост. Пункт 66 км,О,63 Кбш (Р),644343,
 7508.,Ост. Пункт 66 км,О,76 Сверд (Р),764831,
 7509.,Ост. Пункт 66 км,О,76 Сверд (Р),783936,
 7510.,Ост. Пункт 662 км,О,58 Ю-Вост (Р),607471,
 7511.,Ост. Пункт 6622 км,О,94 Заб (Р),946619,
 7512.,Ост. Пункт 6639 км,О,94 Заб (Р),946712,
 7513.,Ост. Пункт 665 км,О,58 Ю-Вост (Р),607611,
 7514.,Ост. Пункт 669 км,О,32 Ю-Зап (У),324027,
 7515.,Ост. Пункт 67 км,О,01 Окт (Р),037522,
 7516.,Ост. Пункт 67 км,О,43 Южн (У),426150,
 7517.,Ост. Пункт 67 км,О,58 Ю-Вост (Р),601738,
 7518.,Ост. Пункт 67 км,О,76 Сверд (Р),773968,
 7519.,Ост. Пункт 67 км,О,80 Ю-Ур (Р),812726,
 7520.,Ост. Пункт 67 км,О,80 Ю-Ур (Р),814871,
 7521.,Ост. Пункт 670 км,О,58 Ю-Вост (Р),607715,
 7522.,Ост. Пункт 671 км,О,58 Ю-Вост (Р),438919,
 7523.,Ост. Пункт 671 км,О,63 Кбш (Р),641773,
 7524.,Ост. Пункт 6713 км,О,94 Заб (Р),950313,
 7525.,Ост. Пункт 673 км,О,63 Кбш (Р),641788,
 7526.,Ост. Пункт 678 км,О,63 Кбш (Р),641740,
 7527.,Ост. Пункт 679 км,О,63 Кбш (Р),641769,
 7528.,Ост. Пункт 68 км,О,35 Льв (У),350712,
 7529.,Ост. Пункт 68 км,О,43 Южн (У),445611,
 7530.,Ост. Пункт 68 км,О,48 Дон (У),496844,
 7531.,Ост. Пункт 68 км,О,73 Узбк,733814,
 7532.,Ост. Пункт 68 км,О,80 Ю-Ур (Р),805622,
 7533.,Ост. Пункт 68 км,О,80 Ю-Ур (Р),812594,
 7534.,Ост. Пункт 68 км,О,84 84-я дорога,838344,
 7535.,Ост. Пункт 68 км,О,89 89-я дорога,928536,
 7536.,Ост. Пункт 684 км,О,43 Южн (У),429318,
 7537.,Ост. Пункт 686 км,О,58 Ю-Вост (Р),439019,
 7538.,Ост. Пункт 69 км,О,17 Моск (Р),189513,
 7539.,Ост. Пункт 69 км,О,17 Моск (Р),200549,
 7540.,Ост. Пункт 69 км,О,17 Моск (Р),218716,
 7541.,Ост. Пункт 69 км,О,17 Моск (Р),238372,
 7542.,Ост. Пункт 69 км,О,48 Дон (У),481321,
 7543.,Ост. Пункт 69 км,О,51 С-Кав (Р),588529,
 7544.,Ост. Пункт 69 км,О,80 Ю-Ур (Р),803472,
 7545.,Ост. Пункт 69 км,О,80 Ю-Ур (Р),812753,
 7546.,Ост. Пункт 69 км,Х,83 З-Сиб (Р),844928,
 7547.,Ост. Пункт 69 км,О,89 89-я дорога,897836,
 7548.,Ост. Пункт 692 км,О,58 Ю-Вост (Р),584725,
 7549.,Ост. Пункт 693 км,О,63 Кбш (Р),641839,
 7550.,Ост. Пункт 694 км,О,58 Ю-Вост (Р),439042,
 7551.,Ост. Пункт 697 км,О,58 Ю-Вост (Р),439038,
 7552.,Ост. Пункт 698 км,О,58 Ю-Вост (Р),599059,
 7553.,Ост. Пункт 7 км,О,01 Окт (Р),030561,
 7554.,Ост. Пункт 7 км,О,17 Моск (Р),205025,
 7555.,Ост. Пункт 7 км,О,43 Южн (У),430743,
 7556.,Ост. Пункт 7 км,О,43 Южн (У),428118,
 7557.,Ост. Пункт 7 км,О,43 Южн (У),440815,
 7558.,Ост. Пункт 7 км,О,43 Южн (У),440834,
 7559.,Ост. Пункт 7 км,О,43 Южн (У),449716,
 7560.,Ост. Пункт 7 км,О,48 Дон (У),487436,
 7561.,Ост. Пункт 7 км,О,48 Дон (У),504237,
 7562.,Ост. Пункт 7 км,О,48 Дон (У),497724,
 7563.,Ост. Пункт 7 км,О,51 С-Кав (Р),543049,
 7564.,Ост. Пункт 7 км,О,58 Ю-Вост (Р),582976,
 7565.,Ост. Пункт 7 км,О,58 Ю-Вост (Р),590425,
 7566.,Ост. Пункт 7 км,О,63 Кбш (Р),636169,
 7567.,Ост. Пункт 7 км,О,63 Кбш (Р),644818,
 7568.,Ост. Пункт 7 км,О,73 Узбк,733513,
 7569.,Ост. Пункт 7 км,О,76 Сверд (Р),761551,
 7570.,Ост. Пункт 7 км,О,76 Сверд (Р),770048,
 7571.,Ост. Пункт 7 км,О,80 Ю-Ур (Р),802520,
 7572.,Ост. Пункт 7 км,О,89 89-я дорога,901533,
 7573.,Ост. Пункт 7 км,О,89 89-я дорога,978639,
 7574.,Ост. Пункт 7 км,О,84 84-я дорога,838537,
 7575.,Ост. Пункт 70 км,О,32 Ю-Зап (У),339713,
 7576.,Ост. Пункт 70 км,О,43 Южн (У),445626,
 7577.,Ост. Пункт 70 км,О,58 Ю-Вост (Р),591112,
 7578.,Ост. Пункт 70 км,О,51 С-Кав (Р),588533,
 7579.,Ост. Пункт 70 км,О,58 Ю-Вост (Р),605813,
 7580.,Ост. Пункт 70 км,О,80 Ю-Ур (Р),802018,
 7581.,Ост. Пункт 70 км,О,80 Ю-Ур (Р),818139,
 7582.,Ост. Пункт 701 км,О,24 Горьк (Р),267125,
 7583.,Ост. Пункт 701 км,О,58 Ю-Вост (Р),434443,
 7584.,Ост. Пункт 702 км,О,43 Южн (У),429214,
 7585.,Ост. Пункт 704 км,О,63 Кбш (Р),630143,
 7586.,Ост. Пункт 706 км,О,58 Ю-Вост (Р),439057,
 7587.,Ост. Пункт 709 км,О,63 Кбш (Р),630110,
 7588.,Ост. Пункт 71 км,О,17 Моск (Р),238368,
 7589.,Ост. Пункт 71 км,О,48 Дон (У),496834,
 7590.,Ост. Пункт 71 км,О,58 Ю-Вост (Р),581322,
 7591.,Ост. Пункт 71 км,О,58 Ю-Вост (Р),604327,
 7592.,Ост. Пункт 71 км,О,75 Трк,755211,
 7593.,Ост. Пункт 71 км,О,76 Сверд (Р),773953,
 7594.,Ост. Пункт 71 км,О,80 Ю-Ур (Р),814731,
 7595.,Ост. Пункт 71 км,О,84 84-я дорога,838335,
 7596.,Ост. Пункт 71 км,О,89 89-я дорога,928540,
 7597.,Ост. Пункт 710 км,О,58 Ю-Вост (Р),439061,
 7598.,Ост. Пункт 712 км,О,58 Ю-Вост (Р),584617,
 7599.,Ост. Пункт 713 км,О,63 Кбш (Р),642032,
 7600.,Ост. Пункт 717 км,О,28 Сев (Р),293026,
 7601.,Ост. Пункт 717 км,О,63 Кбш (Р),642013,
 7602.,Ост. Пункт 72 км,О,28 Сев (Р),297537,
 7603.,Ост. Пункт 72 км,О,43 Южн (У),433332,
 7604.,Ост. Пункт 72 км,О,57 Грз,561422,
 7605.,Ост. Пункт 72 км,О,63 Кбш (Р),658721,
 7606.,Ост. Пункт 72 км,О,73 Узбк,740911,
 7607.,Ост. Пункт 72 км,О,76 Сверд (Р),783921,
 7608.,Ост. Пункт 720 км,О,43 Южн (У),429068,
 7609.,Ост. Пункт 721 км,О,58 Ю-Вост (Р),439216,
 7610.,Ост. Пункт 724 км,О,28 Сев (Р),293064,
 7611.,Ост. Пункт 727 км,О,63 Кбш (Р),633716,
 7612.,Ост. Пункт 729 км,О,43 Южн (У),429040,
 7613.,Ост. Пункт 729 км,О,63 Кбш (Р),643266,
 7614.,Ост. Пункт 73 км,О,17 Моск (Р),200534,
 7615.,Ост. Пункт 73 км,О,17 Моск (Р),197312,
 7616.,Ост. Пункт 73 км,О,80 Ю-Ур (Р),801778,
 7617.,Ост. Пункт 73 км,О,80 Ю-Ур (Р),814528,
 7618.,Ост. Пункт 73 км,О,80 Ю-Ур (Р),814833,
 7619.,Ост. Пункт 73 км,О,94 Заб (Р),954422,
 7620.,Ост. Пункт 730 км,О,58 Ю-Вост (Р),439316,
 7621.,Ост. Пункт 730 км,О,63 Кбш (Р),642210,
 7622.,Ост. Пункт 732 км,О,43 Южн (У),429036,
 7623.,Ост. Пункт 737 км,О,43 Южн (У),432310,
 7624.,Ост. Пункт 738 км,О,28 Сев (Р),293079,
 7625.,Ост. Пункт 738 км,О,43 Южн (У),429017,
 7626.,Ост. Пункт 739 км,О,58 Ю-Вост (Р),439413,
 7627.,Ост. Пункт 739 км,О,63 Кбш (Р),633813,
 7628.,Ост. Пункт 74 км,О,17 Моск (Р),238353,
 7629.,Ост. Пункт 74 км,О,63 Кбш (Р),647816,
 7630.,Ост. Пункт 74 км,О,63 Кбш (Р),652227,
 7631.,Ост. Пункт 74 км,О,75 Трк,755226,
 7632.,Ост. Пункт 74 км,О,80 Ю-Ур (Р),804437,
 7633.,Ост. Пункт 740 км,О,63 Кбш (Р),643247,
 7634.,Ост. Пункт 742 км,О,63 Кбш (Р),633828,
 7635.,Ост. Пункт 742 км,О,63 Кбш (Р),642140,
 7636.,Ост. Пункт 746 км,О,43 Южн (У),428512,
 7637.,Ост. Пункт 746 км,О,63 Кбш (Р),642155,
 7638.,Ост. Пункт 747 км,О,83 З-Сиб (Р),836936,
 7639.,Ост. Пункт 748 км,О,58 Ю-Вост (Р),439432,
 7640.,Ост. Пункт 75 км,Х,45 Придн (У),466213,
 7641.,Ост. Пункт 75 км,О,51 С-Кав (Р),588548,
 7642.,Ост. Пункт 75 км,О,58 Ю-Вост (Р),605828,
 7643.,Ост. Пункт 75 км,О,88 Крас (Р),886239,
 7644.,Ост. Пункт 752 км,О,63 Кбш (Р),633917,
 7645.,Ост. Пункт 753 км,О,63 Кбш (Р),642174,
 7646.,Ост. Пункт 754 км,О,58 Ю-Вост (Р),438336,
 7647.,Ост. Пункт 754 км,О,63 Кбш (Р),643228,
 7648.,Ост. Пункт 756 км,О,63 Кбш (Р),633921,
 7649.,Ост. Пункт 759 км,О,58 Ю-Вост (Р),438363,
 7650.,Ост. Пункт 76 км,О,17 Моск (Р),201626,
 7651.,Ост. Пункт 76 км,О,17 Моск (Р),205415,
 7652.,Ост. Пункт 76 км,О,17 Моск (Р),236317,
 7653.,Ост. Пункт 76 км,О,24 Горьк (Р),246824,
 7654.,Ост. Пункт 76 км,О,32 Ю-Зап (У),324332,
 7655.,Ост. Пункт 76 км,О,58 Ю-Вост (Р),594820,
 7656.,Ост. Пункт 76 км,О,63 Кбш (Р),630834,
 7657.,Ост. Пункт 76 км,О,73 Узбк,722839,
 7658.,Ост. Пункт 761 км,О,58 Ю-Вост (Р),438374,
 7659.,Ост. Пункт 764 км,О,58 Ю-Вост (Р),438213,
 7660.,Ост. Пункт 765 км,О,63 Кбш (Р),642314,
 7661.,Ост. Пункт 767 км,О,63 Кбш (Р),643317,
 7662.,Ост. Пункт 77 км,О,17 Моск (Р),189547,
 7663.,Ост. Пункт 77 км,О,48 Дон (У),496810,
 7664.,Ост. Пункт 77 км,О,58 Ю-Вост (Р),601812,
 7665.,Ост. Пункт 77 км,О,58 Ю-Вост (Р),604331,
 7666.,Ост. Пункт 77 км,О,76 Сверд (Р),776311,
 7667.,Ост. Пункт 77 км,О,84 84-я дорога,838310,
 7668.,Ост. Пункт 773 км,О,43 Южн (У),428423,
 7669.,Ост. Пункт 777 км,О,58 Ю-Вост (Р),585075,
 7670.,Ост. Пункт 777 км,О,63 Кбш (Р),643425,
 7671.,Ост. Пункт 779 км,О,58 Ю-Вост (Р),585087,
 7672.,Ост. Пункт 78 км,О,48 Дон (У),489018,
 7673.,Ост. Пункт 78 км,О,48 Дон (У),507127,
 7674.,Ост. Пункт 78 км,О,63 Кбш (Р),658736,
 7675.,Ост. Пункт 78 км,О,80 Ю-Ур (Р),804136,
 7676.,Ост. Пункт 78 км,О,92 В-Сиб (Р),933498,
 7677.,Ост. Пункт 78 км,О,89 89-я дорога,928517,
 7678.,Ост. Пункт 781 км,О,24 Горьк (Р),267520,
 7679.,Ост. Пункт 7810 км,О,94 Заб (Р),953612,
 7680.,Ост. Пункт 7819 км,О,94 Заб (Р),953716,
 7681.,Ост. Пункт 7826 км,О,94 Заб (Р),954013,
 7682.,Ост. Пункт 786 км,О,28 Сев (Р),293524,
 7683.,Ост. Пункт 79 км,О,01 Окт (Р),022620,
 7684.,Ост. Пункт 79 км,О,43 Южн (У),433313,
 7685.,Ост. Пункт 79 км,О,45 Придн (У),458217,
 7686.,Ост. Пункт 79 км,О,51 С-Кав (Р),516728,
 7687.,Ост. Пункт 79 км,О,58 Ю-Вост (Р),591127,
 7688.,Ост. Пункт 79 км,О,80 Ю-Ур (Р),803491,
 7689.,Ост. Пункт 7910 км,О,94 Заб (Р),955228,
 7690.,Ост. Пункт 792 км,О,58 Ю-Вост (Р),585130,
 7691.,Ост. Пункт 7930 км,О,94 Заб (Р),955321,
 7692.,Ост. Пункт 796 км,О,58 Ю-Вост (Р),585145,
 7693.,Ост. Пункт 8 км,О,43 Южн (У),431445,
 7694.,Ост. Пункт 8 км,О,43 Южн (У),428014,
 7695.,Ост. Пункт 8 км,О,45 Придн (У),471531,
 7696.,Ост. Пункт 8 км,О,51 С-Кав (Р),510859,
 7697.,Ост. Пункт 8 км,О,51 С-Кав (Р),512426,
 7698.,Ост. Пункт 8 км,О,51 С-Кав (Р),521622,
 7699.,Ост. Пункт 8 км,О,51 С-Кав (Р),530732,
 7700.,Ост. Пункт 8 км,О,58 Ю-Вост (Р),603885,
 7701.,Ост. Пункт 8 км,О,58 Ю-Вост (Р),605654,
 7702.,Ост. Пункт 8 км,О,63 Кбш (Р),640041,
 7703.,Ост. Пункт 8 км,О,63 Кбш (Р),644837,
 7704.,Ост. Пункт 8 км,О,63 Кбш (Р),652049,
 7705.,Ост. Пункт 8 км,О,76 Сверд (Р),762713,
 7706.,Ост. Пункт 8 км,О,76 Сверд (Р),773116,
 7707.,Ост. Пункт 8 км,О,80 Ю-Ур (Р),811977,
 7708.,Ост. Пункт 8 км,О,85 Крым (Р),868284,
 7709.,Ост. Пункт 8 км,О,94 Заб (Р),948120,
 7710.,Ост. Пункт 8 км,О,94 Заб (Р),941634,
 7711.,Ост. Пункт 80 км,О,43 Южн (У),449114,
 7712.,Ост. Пункт 80 км,О,48 Дон (У),507131,
 7713.,Ост. Пункт 80 км,О,63 Кбш (Р),636544,
 7714.,Ост. Пункт 80 км,О,76 Сверд (Р),772236,
 7715.,Ост. Пункт 80 км,О,84 84-я дорога,848929,
 7716.,Ост. Пункт 802 км,О,63 Кбш (Р),634642,
 7717.,Ост. Пункт 802 км,О,63 Кбш (Р),643529,
 7718.,Ост. Пункт 805 км,О,48 Дон (У),509033,
 7719.,Ост. Пункт 805 км,О,58 Ю-Вост (Р),585713,
 7720.,Ост. Пункт 805 км,О,63 Кбш (Р),643533,
 7721.,Ост. Пункт 805 км,О,84 84-я дорога,849936,
 7722.,Ост. Пункт 8056 км,О,94 Заб (Р),957011,
 7723.,Ост. Пункт 809 км,О,63 Кбш (Р),634731,
 7724.,Ост. Пункт 809 км,О,63 Кбш (Р),643548,
 7725.,Ост. Пункт 81 км,О,17 Моск (Р),189345,
 7726.,Ост. Пункт 81 км,О,17 Моск (Р),205423,
 7727.,Ост. Пункт 81 км,О,17 Моск (Р),218816,
 7728.,Ост. Пункт 81 км,О,43 Южн (У),426216,
 7729.,Ост. Пункт 81 км,О,51 С-Кав (Р),587831,
 7730.,Ост. Пункт 81 км,О,63 Кбш (Р),636648,
 7731.,Ост. Пункт 81 км,О,80 Ю-Ур (Р),804140,
 7732.,Ост. Пункт 813 км,О,63 Кбш (Р),634746,
 7733.,Ост. Пункт 82 км,О,24 Горьк (Р),246818,
 7734.,Ост. Пункт 82 км,О,32 Ю-Зап (У),345042,
 7735.,Ост. Пункт 82 км,О,48 Дон (У),506047,
 7736.,Ост. Пункт 82 км,О,58 Ю-Вост (Р),583417,
 7737.,Ост. Пункт 82 км,О,58 Ю-Вост (Р),605917,
 7738.,Ост. Пункт 82 км,О,63 Кбш (Р),630726,
 7739.,Ост. Пункт 82 км,О,80 Ю-Ур (Р),818213,
 7740.,Ост. Пункт 82 км,О,83 З-Сиб (Р),863830,
