Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Грузинской ж.д. (код дороги 57),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 57-001 ""ГАНТИАДИ (ЭКСП.) - СЕНАКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гантиади (эксп.),до ст. Сенаки (эксп.),,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сенаки (эксп.),"до ст. Поти (паром, эксп. на Паромная)",,,,,,,,,,,
  1.,571833 .,Сенаки (эксп.),   0  км ,  42  км ,,,,,,,,,,,
  2.,571903 .,Сенаки,   0  км ,  42  км ,,,,,,,,,,,
  3.,571918 .,ОП Теклети,   4  км ,  38  км ,,,,,,,,,,,
  4.,571941 .,Квалони,  10  км ,  32  км ,,,,,,,,,,,
  5.,572018 .,ОП Хорга,  18  км ,  24  км ,,,,,,,,,,,
  6.,577308 .,Чаладиди,  23  км ,  19  км ,,,,,,,,,,,
  7.,577401 .,Чаладиди (эксп.),  23  км ,  19  км ,,,,,,,,,,,
  8.,572037 .,ОП Колхида,  29  км ,  13  км ,,,,,,,,,,,
  9.,572041 .,ОП Платформа 32 км,  32  км ,  10  км ,,,,,,,,,,,
 10.,572056 .,ОП Набада,  34  км ,   8  км ,,,,,,,,,,,
 11.,572107 .,Поти,  40  км ,   2  км ,,,,,,,,,,,
 12.,576108 .,Поти (паром на Кавказ),  40  км ,   2  км ,,,,,,,,,,,
 13.,576409 .,Поти (паром эксп. на Керчь),  40  км ,   2  км ,,,,,,,,,,,
 14.,572003 .,"Поти (паром, эксп.на Варну)",  42  км ,   0  км ,,,,,,,,,,,
 15.,572200 .,Поти ( порт. эксп.),  42  км ,   0  км ,,,,,,,,,,,
 16.,572304 .,"Поти (паром, эксп. на Паромная)",  42  км ,   0  км ,,,,,,,,,,,
 17.,572605 .,"Поти (паром, эксп. на КОНСТАНЦУ)",  42  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 57-010 ""САМТРЕДИА - БАТУМИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Самтредиа,до ст. Батуми,,,,,,,,,,,
  1.,570008 .,Самтредиа,   0  км , 104  км ,,,,,,,,,,,
  2.,570050 .,ОП Дапнари,   6  км ,  98  км ,,,,,,,,,,,
  3.,570205 .,Саджевахо,   9  км ,  95  км ,,,,,,,,,,,
  4.,570217 .,ОП Хевис-Цхали,  13  км ,  91  км ,,,,,,,,,,,
  5.,570224 .,Джапана,  17  км ,  87  км ,,,,,,,,,,,
  6.,570239 .,ОП Квиани,  20  км ,  84  км ,,,,,,,,,,,
  7.,570309 .,Нигоити,  23  км ,  81  км ,,,,,,,,,,,
  8.,570313 .,ОП Шухути,  27  км ,  77  км ,,,,,,,,,,,
  9.,570402 .,Ланчхути,  30  км ,  74  км ,,,,,,,,,,,
 10.,570417 .,ОП Чибати,  35  км ,  69  км ,,,,,,,,,,,
 11.,570421 .,ОП Леса,  37  км ,  67  км ,,,,,,,,,,,
 12.,570506 .,Джумати,  42  км ,  62  км ,,,,,,,,,,,
 13.,570510 .,ОП Гурия,  45  км ,  59  км ,,,,,,,,,,,
 14.,570525 .,ОП Колшрома,  48  км ,  56  км ,,,,,,,,,,,
 15.,570602 .,Супса,  51  км ,  53  км ,,,,,,,,,,,
 16.,570703 .,Уреки,  57  км ,  47  км ,,,,,,,,,,,
 17.,570718 .,ОП Цвермагала,  61  км ,  43  км ,,,,,,,,,,,
 18.,570807 .,Натанеби,  66  км ,  38  км ,,,,,,,,,,,
 19.,570811 .,ОП Чолохи,  71  км ,  33  км ,,,,,,,,,,,
 20.,571091 .,Очхамури,  75  км ,  29  км ,,,,,,,,,,,
 21.,571119 .,ОП Агурис Кархана,  78  км ,  26  км ,,,,,,,,,,,
 22.,571208 .,Кобулети,  82  км ,  22  км ,,,,,,,,,,,
 23.,571212 .,ОП Бобоквати,  85  км ,  19  км ,,,,,,,,,,,
 24.,571227 .,ОП Цихис-Дзири,  88  км ,  16  км ,,,,,,,,,,,
 25.,571231 .,ОП Букнари,  89  км ,  15  км ,,,,,,,,,,,
 26.,571299 .,Чаква (эксп.),  91  км ,  13  км ,,,,,,,,,,,
 27.,571301 .,Чаква,  91  км ,  13  км ,,,,,,,,,,,
 28.,571346 .,ОП Чаквис Цкали,  93  км ,  11  км ,,,,,,,,,,,
 29.,571316 .,ОП Ботаникури Баги,  95  км ,   9  км ,,,,,,,,,,,
 30.,571320 .,ОП Мцване Концхи,  96  км ,   8  км ,,,,,,,,,,,
 31.,571335 .,Махинджаури,  98  км ,   6  км ,,,,,,,,,,,
 32.,571513 .,Батуми-Пассажирская,  99  км ,   5  км ,,,,,,,,,,,
 33.,571405 .,Батуми ( порт. эксп.), 104  км ,   0  км ,,,,,,,,,,,
 34.,571509 .,Батуми, 104  км ,   0  км ,,,,,,,,,,,
 35.,577900 .,"Батуми (паром, эксп. на КОНСТАНЦУ)", 104  км ,   0  км ,,,,,,,,,,,
 36.,578006 .,Батуми (паром эксп. на Керчь), 104  км ,   0  км ,,,,,,,,,,,
 37.,579708 .,"Батуми (паром, эксп. на Паромная)", 104  км ,   0  км ,,,,,,,,,,,
 38.,579905 .,"Батуми (паром, эксп.на Варну)", 104  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
