Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
 8801.,Скакуново (обп),Б,76 Сверд (Р),"790408 Войновка - 224км, 830304 Карбышево I - 335км",791434
 8802.,Скала-Подольская,П 3,35 Льв (У),"363303 Копычинцы - 54км, 365402 Стефанешты - 118км",364005
 8803.,Скалат,"1,3",35 Льв (У),"330600 Гречаны - 122км, 360004 Тернополь - 38км",361007
 8804.,Скалино,"П 1,3",28 Сев (Р),"300107 Вологда I - 90км, 311101 Данилов - 49км",302901
 8805.,Скалистый (рзд),О,96 Д-Вост (Р),"910000 Тында - 636км, 917103 Новый Ургал - 315км",916153
 8806.,Скальный,Б,76 Сверд (Р),"767308 Чусовская - 24км, 772607 Гороблагодатская - 159км",767121
 8807.,Скангали (рзд),О,01 Окт (Р),"077905 Пыталово - 25км, 078503 Скангали (рзд) (эксп.) - 3км",077924
 8808.,Скангали (рзд) (эксп.),,01 Окт (Р),ТП,078503
 8809.,Скапишкис,Б,12 Лит,"125507 Радвилишкис - 112км, 127803 Рокишкис - 27км",127521
 8810.,Скатарске,П,35 Льв (У),"377408 Стрый - 88км, 382501 Батево - 87км",383720
 8811.,Скачки,"О 1,3,4,5,8,8н,",51 С-Кав (Р),"530208 Армавир-Ростовский - 219км, 537601 Прохладная - 128км",532203
,,"10,10н,11н,12н",,,
 8812.,Сквира,"1,3",32 Ю-Зап (У),"342701 Казатин I - 84км, 343507 Фастов I - 69км",343206
 8813.,Скибнево,"Б 3,8н,10н,11н,",32 Ю-Зап (У),"330600 Гречаны - 19км, 333702 Ярмолинцы - 20км",333806
,,12н,,,
 8814.,Скидель,"Б 1,3",13 Бел,"135208 Гродно - 30км, 137203 Мосты - 28км",135405
 8815.,Скиповой (пп),О,48 Дон (У),"500908 Должанская - 75км, 503107 Чернухино - 57км",502411
 8816.,Скиповой (пп),О,84 84-я дорога,"848011 Чернухино - 57км, 839703 Должанская - 75км",847610
 8817.,Скнилов,"Б 1,3,8",35 Льв (У),"370006 Львов - 5км, 375705 Самбор - 73км, 377408 Стрый - 70км",370307
 8818.,Сковородино,"П 1,2,3,4,5,8н",94 Заб (Р),"950008 Белогорск - 560км, 951602 Бамовская - 32км",951706
 8819.,Сколе,"П 1,3",35 Льв (У),"377408 Стрый - 38км, 382501 Батево - 137км",376905
 8820.,Скопин,"Б 1,3",17 Моск (Р),"223803 Ряжск I - 44км, 227700 Павелец-Сызранский (рзд) - 26км",228008
 8821.,Скоростной,Б,43 Южн (У),"430002 Купянск-Сортировочный - 14км, 490208 Святогорск - 62км",431426
 8822.,Скороходово,"Б 1,3",43 Южн (У),"448709 Полтава-Южная - 44км, 449608 Люботин - 72км",449006
 8823.,Скосырская,О,48 Дон (У),"487807 Иловайск - 13км, 503107 Чернухино - 73км",489107
 8824.,Скосырская,О,89 89-я дорога,"901707 Иловайск - 13км, 848011 Чернухино - 73км",928521
 8825.,Скотоватая,Б,48 Дон (У),491200 Константиновка - 37км,490814
 8826.,Скотоватая,Б,89 89-я дорога,"929902 Константиновка - 37км, 897003 Ясиноватая - 14км",929613
 8827.,Скочище,О 3,32 Ю-Зап (У),"343507 Фастов I - 45км, 345606 Житомир - 56км",344904
 8828.,Скра,Х,57 Грз,"560101 Тбилиси-Узловая - 90км, 577204 Хашури - 36км",578902
 8829.,Скрибовцы,О,13 Бел,"137203 Мосты - 43км, 137608 Лида - 31км",137576
 8830.,Скривери,О 1,09 Лат,"090064 Яняварти - 68км, 117604 Плявиняс - 40км",093804
 8831.,Скрипаи (рзд),О,43 Южн (У),"430002 Купянск-Сортировочный - 90км, 440209 Основа - 55км, 490208 Святогорск - 124км",430739
 8832.,Скрунда,"О 1,3",09 Лат,"092801 Глуда - 95км, 098600 Лиепая - 69км",093409
 8833.,Скрябино,О,58 Ю-Вост (Р),"607607 Ртищево I - 97км, 630105 Пенза I - 62км",608120
 8834.,Скряговка,Б,43 Южн (У),"445607 Басы - 40км, 449608 Люботин - 121км",445838
 8835.,Скулте,О 3,09 Лат,095000 Земитаны - 52км,090702
 8836.,Скулте (эксп.),,09 Лат,,090806
 8837.,Скуодас,Х,12 Лит,107809 Крятинга - 48км,107104
 8838.,Скуодас (эксп.),,12 Лит,,106900
 8839.,Скуратово,Б 3,17 Моск (Р),"214700 Горбачево - 8км, 216000 Орел - 99км",215008
 8840.,Скярсабаляй,Б,12 Лит,"120005 Вильнюс - 32км, 128401 Пабраде - 19км",128308
 8841.,Славгород,"П 1,2,3,4",83 З-Сиб (Р),"835558 Осолодино (обп) - 102км, 844805 Кулунда (эксп.) - 73км",837106
 8842.,Славгород-Южный,П 3,45 Придн (У),"453500 Синельниково II - 26км, 464701 Вольнянск - 26км",464909
 8843.,Славное,О,13 Бел,"140009 Минск-Сортировочный - 148км, 166403 Орша-Центральная - 68км",141938
 8844.,Славско,П,35 Льв (У),"377408 Стрый - 64км, 382501 Батево - 111км",376712
 8845.,Славута I,"Б 1,3",32 Ю-Зап (У),"340000 Шепетовка - 20км, 350002 Здолбунов - 53км",341408
 8846.,Славута II,3,32 Ю-Зап (У),,341304
 8847.,Славутич,Б,32 Ю-Зап (У),325000 Чернигов - 38км,324718
 8848.,Славянка,Б,01 Окт (Р),"031009 Обухово - 6км, 042003 Чудово-Московское - 101км",031634
 8849.,Славянка,О,45 Придн (У),"454502 Павлоград I - 75км, 482004 Покровск - 39км",455401
 8850.,Славяносербск,Б 3,48 Дон (У),"500005 Дебальцево-Сортировочное - 42км, 506001 Родаково - 9км",506105
 8851.,Славяносербск,Б,84 84-я дорога,"848505 Родаково - 9км, 959500 Дебальцево-Сортировочное - 42км",848558
 8852.,Славянск,"Б 1,3,8,10",48 Дон (У),ТП,492006
 8853.,Славянск,"Б 1,3,8,10",89 89-я дорога,ТП,957505
 8854.,Славянск-Ветка,"О 1,3",48 Дон (У),492006 Славянск - 4км,492109
 8855.,Славянск-Ветка,"О 1,3",89 89-я дорога,957505 Славянск - 4км,957609
 8856.,Славянский Курорт,Б 1,48 Дон (У),"490000 Лиман - 18км, 492006 Славянск - 9км",490405
 8857.,Славянский Курорт,Б 1,89 89-я дорога,"957505 Славянск - 9км, 929100 Красный Лиман - 18км",929401
 8858.,Слаговищи,3,17 Моск (Р),"185005 Сухиничи - 40км, 210004 Плеханово - 146км, 214700 Горбачево - 102км",213303
 8859.,Сладкое (обп),П,80 Ю-Ур (Р),"801104 Чурилово - 172км, 828501 Курган - 77км",829129
 8860.,Слампе,О,09 Лат,"091809 Елгава - 39км, 097504 Тукумс II - 17км",097720
 8861.,Сланцы,"Б 1,2,3,4",01 Окт (Р),073603 Веймарн - 58км,073001
 8862.,Слатино,О,43 Южн (У),"432306 Казачья Лопань - 15км, 440001 Харьков-Сортировочный - 21км",432240
 8863.,Слепцовская,"Б 1,3,4",51 С-Кав (Р),537601 Прохладная - 132км,540604
 8864.,Слободка,Б 3,40 Од (У),ТП,407906
 8865.,Слободка (эксп.),,40 Од (У),,418205
 8866.,Слободское,"1,2,3,4,5,8",24 Горьк (Р),"270908 Матанцы - 59км, 280204 Котлас-Узловой - 402км",271008
 8867.,Словечно,Б,13 Бел,"151200 Словечно (эксп.) - 1км, 153808 Калинковичи - 70км",151130
 8868.,Словечно (эксп.),,13 Бел,ТП,151200
 8869.,Словечно-стык,Х,13 Бел,"151200 Словечно (эксп.) - 1км, 153808 Калинковичи - 70км",151145
 8870.,Слока,"О 1,3,10н",09 Лат,"091008 Торнякалнс - 32км, 097504 Тукумс II - 33км",097307
 8871.,Слоним,"Б 1,3,4",13 Бел,"136709 Волковыск - 71км, 138507 Барановичи-Центральные - 51км",137006
 8872.,Слуцк,"Б 1,3,4,8",13 Бел,"138507 Барановичи-Центральные - 109км, 146407 Осиповичи I - 99км",148602
 8873.,Слуцк-Стык,Х,13 Бел,"138507 Барановичи-Центральные - 106км, 146407 Осиповичи I - 102км",148706
 8874.,Слюдянка I,"П 1,2,3,4",92 В-Сиб (Р),"930108 Иркутск-Пассажирский - 126км, 935506 Улан-Удэ - 330км",933303
 8875.,Слюдянка II,О 3,92 В-Сиб (Р),"930108 Иркутск-Пассажирский - 121км, 935506 Улан-Удэ - 335км",933106
 8876.,Смагино,"Б 1,2,3",24 Горьк (Р),"244208 Арзамас II - 72км, 248105 Канаш - 183км",244706
 8877.,Смазнево,Б,83 З-Сиб (Р),"840005 Алтайская - 109км, 862701 Артышта II - 91км",841455
 8878.,Смела,"О 1,3",40 Од (У),420008 Им. Тараса Шевченко - 6км,424009
 8879.,Смеловская,О,80 Ю-Ур (Р),"652000 Карламан - 288км, 816203 Карталы I - 164км",818410
 8880.,Смирново,"Б 3,8н,10н",68 Кзх,"688708 Петропавловск (эксп.) - 44км, 687008 Кокшетау I - 151км",687902
 8881.,Смирных-Сахалинский,П 1,96 Д-Вост (Р),"990005 Корсаков - 400км, 993304 Холмск - 393км",996800
 8882.,Смолевичи,"Б 1,3,4",13 Бел,"140009 Минск-Сортировочный - 43км, 166403 Орша-Центральная - 173км",141001
 8883.,Смоленск,"П 1,2,3,4,5,8,",17 Моск (Р),ТП,170108
,,10,,,
 8884.,Смоленск-Сортировочный,П 3,17 Моск (Р),"170108 Смоленск - 4км, 170466 Духовская - 13км, 177408 Рославль I - 118км",170004
 8885.,Смолино,О,80 Ю-Ур (Р),"800008 Челябинск-Главный - 16км, 804808 Полетаево I - 10км",800243
 8886.,Смолка,3,32 Ю-Зап (У),"345606 Житомир - 82км, 348002 Новоград-Волынский I - 9км",345201
 8887.,Смолка (рзд),О,83 З-Сиб (Р),"861406 Проектная - 102км, 871107 Топки - 11км",871145
 8888.,Смольяны,О,13 Бел,166403 Орша-Центральная - 22км,168697
 8889.,Смоляниново,"П 1,3",96 Д-Вост (Р),"982206 Угловая - 39км, 984502 Находка - 125км",982808
 8890.,Смоляниново (перев.),,96 Д-Вост (Р),"982206 Угловая - 39км, 984502 Находка - 125км",984004
 8891.,Смоляниново (эксп.),,96 Д-Вост (Р),"982206 Угловая - 39км, 984502 Находка - 125км",983904
 8892.,Сморгонь,"Б 1,3,4,8н,10н",13 Бел,"162900 Молодечно - 37км, 164107 Гудогай (эксп.) - 43км",163301
 8893.,Смыга,"О 1,3",35 Льв (У),"350002 Здолбунов - 64км, 379809 Красне - 110км",350407
 8894.,Смычка,"Б 3,8н,10н,11н,",76 Сверд (Р),ТП,770005
,,12н,,,
 8895.,Смышляевка,Б 3,63 Кбш (Р),"657305 Кинель - 19км, 657803 Безымянка - 11км",657606
 8896.,Снеги (рзд),О,43 Южн (У),"432700 Одноробовка - 12км, 440209 Основа - 62км",432626
 8897.,Снегири,"О 1,3",17 Моск (Р),"196305 Подмосковная - 36км, 197007 Манихино I - 7км",196907
 8898.,Снежеток,Б,58 Ю-Вост (Р),"603409 Раненбург - 12км, 603803 Богоявленск - 12км",603451
 8899.,Снежетьская,Б,17 Моск (Р),"200002 Брянск-Льговский - 10км, 216000 Орел - 123км",200229
 8900.,Снежница,О,88 Крас (Р),"880002 Ачинск I - 148км, 892705 Уяр - 169км",891011
 8901.,Снежные Валы (рзд),О,63 Кбш (Р),"635607 Сызрань I - 78км, 636807 Жигулевское Море - 30км",636531
 8902.,Снигиревка,"Б 1,3",40 Од (У),ТП,416106
 8903.,Снижа,Х,17 Моск (Р),"205006 Арбузово - 13км, 216000 Орел - 132км, 217709 Верховье - 218км",205038
 8904.,Сновск,"Б 1,3",32 Ю-Зап (У),"326003 Бахмач-Пассажирский - 96км, 327260 Хоробичи - 40км",326906
 8905.,Снятын,"П 1,3",35 Льв (У),"366301 Лужаны - 21км, 388809 Коломыя - 35км",389303
 8906.,Соблаго,О 1,01 Окт (Р),ТП,068107
 8907.,Соболеково,"О 3,8н,10н",63 Кбш (Р),"254905 Агрыз - 155км, 647523 Акбаш - 178км",649205
 8908.,Соболеково (перев.),,63 Кбш (Р),"254905 Агрыз - 155км, 647523 Акбаш - 178км",649402
 8909.,Соболеково (эксп.),,63 Кбш (Р),"254905 Агрыз - 155км, 647523 Акбаш - 178км",649309
 8910.,Соболиная,О 3,76 Сверд (Р),777117 Ивдель II (пп) - 199км,778707
 8911.,Собь,О,28 Сев (Р),285801 Сосногорск - 749км,289711
 8912.,Советакан,"Б 1,3",56 Ю-Кав,"565809 Гюмри - 117км, 567400 Масис - 23км",567202
 8913.,Советск,"П 1,3,4,9",10 Клг (Р),,104801
 8914.,Советск (эксп.),,10 Клг (Р),ТП,105005
 8915.,Советская Гавань-Город,"П 1,3,8н,10н",96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 487км, 967600 Ванино - 34км",968406
 8916.,Советская Гавань-Город,,96 Д-Вост (Р),,968904
,(перев.),,,,
 8917.,Советская Гавань-Город,,96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 487км, 967600 Ванино - 34км",968500
